Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
337,111,4859,205,2203,52,3153,340,2070,51,2390,0,2644,469,1222,0,1340,0,CA-33
1036,0,5458,145,3746,0,4202,445,5678,272,5363,43,5806,428,2507,0,2164,0,CA-15
3239,164,7198,38,3151,236,5754,1281,7574,788,5011,690,6733,396,5046,0,1797,0,CA-47
10753,114,33539,68,13318,1828,12573,3805,18596,2086,17910,2700,15747,2536,10420,32,4961,62,TN-08
1683,0,8264,241,3280,1120,4030,201,5308,560,4803,883,4622,522,2261,0,1462,0,TN-06
9366,250,15606,1334,7029,2671,8496,3308,8666,2618,5325,1553,6882,1554,5231,66,2301,0,TX-29
2063,303,6799,476,2044,645,2836,1895,2197,1341,3098,896,3475,872,4386,0,1983,0,TX-27
11435,791,24009,1314,10246,4895,12951,5422,12288,2841,10708,3315,15173,1546,11406,0,6572,61,TX-14
7202,1026,13626,2812,11023,2808,11279,5680,14025,3378,10435,1838,9926,1302,7408,87,2013,228,TX-05
8725,370,22253,806,11900,2883,10514,4513,14677,3303,11260,2565,10653,2105,5983,145,3362,35,TX-10
5121,0,11953,1521,6370,2578,7735,2589,10663,1063,6530,1433,7925,1547,5962,76,3085,0,TX-35
9369,1236,28035,562,11054,300,9771,1626,23813,2415,18208,1689,15725,1035,8648,108,3046,0,TX-22
2992,198,9063,35,3382,701,4426,1510,3432,656,4295,609,3963,346,3430,0,1401,0,TX-19
,,,,,,,,,,,,,,,,,,UT-03
,,,,,,,,,,,,,,,,,,UT-02
28298,1122,60555,4518,29968,8511,38957,6060,38455,5491,35578,4046,38449,4184,26532,14,18175,0,VA-03
20568,190,52884,1494,26815,4849,30098,5575,33362,4649,33203,3372,39783,3674,28108,334,15764,0,VA-04
9014,243,22002,877,10718,1752,17681,1055,15058,1508,15029,578,16606,1912,11123,45,5496,48,VA-02
7649,0,14551,711,9701,2100,7223,1243,9767,1565,7921,1430,10191,984,7163,0,3738,0,VA-06
,,,,,,,,,,,,,,,,,,WA-01
,,,,,,,,,,,,,,,,,,WA-05
2062,168,3944,452,1349,402,2950,429,2742,319,3009,302,2792,179,1217,0,470,0,WA-02
1473,0,3764,427,2240,104,2861,155,3982,1008,3507,650,2601,241,2852,0,412,0,WA-06
935,0,3487,0,2249,267,1228,214,2432,674,2375,35,2794,147,2062,0,1299,0,WV-03
4362,0,8947,0,3529,1168,4742,374,4877,500,3713,252,3248,230,2638,0,981,0,WI-01
884,0,3518,46,1863,300,2920,215,2107,519,1975,0,929,81,1552,0,352,0,WI-05
2780,50,5653,228,3642,1522,3825,558,4676,86,3440,337,2986,726,1145,23,927,0,WI-02
,,,,,,,,,,,,,,,,,,WY-00
938,0,2269,146,2251,297,2402,298,2381,455,1385,329,2522,288,1667,0,645,0,PA-14
4270,546,9726,490,6289,434,5144,1542,5904,334,4541,729,4630,262,3431,36,2115,0,PA-06
967,0,2584,85,1558,631,1591,278,1590,40,984,47,771,0,597,0,218,0,PA-12
2546,181,3235,130,1559,171,5171,193,3043,96,3102,110,3796,72,1109,0,703,0,MO-02
27800,749,67260,2191,24814,9469,38672,8814,34468,7186,35486,6015,38115,4451,28951,34,18432,98,MO-01
12877,618,32280,1126,9863,4811,16423,5125,17213,2350,15940,2543,17735,3456,12220,179,7981,154,MO-05
858,222,3169,69,2516,1287,2164,438,1498,330,1309,31,1858,197,472,0,381,0,NE-01
6927,561,14188,1305,4466,1804,6312,3070,7144,1676,5693,1363,5103,964,3582,0,2271,0,NE-02
10389,100,20481,805,8738,1679,13224,1810,13643,1614,13852,750,13174,400,8671,0,6181,0,NV-04
889,0,2202,0,892,312,1303,257,1164,374,928,175,1001,0,914,0,316,0,NH-01
5382,200,12012,390,7013,287,8851,726,8189,926,11262,866,10171,742,6118,0,4683,0,NJ-03
3285,186,6908,980,4197,207,3667,1451,5374,729,5258,354,5888,372,2687,254,3348,0,NJ-04
6141,0,15823,263,7181,1708,8152,1533,9116,2623,9553,357,10696,389,6589,705,4053,0,NJ-02
1559,316,5367,141,4043,616,2612,51,4130,150,4706,319,4282,184,1937,122,977,0,NJ-11
6900,68,10962,802,4931,1902,11416,2248,11900,1723,8868,1188,8078,1076,4144,0,3291,0,NJ-08
,,,,,,,,,,,,,,,,,,NM-02
3681,388,14267,33,7867,949,10290,774,8788,169,7175,206,6005,308,3113,0,2364,0,NY-20
,,,,,,,,,,,,,,,,,,NY-21
7221,425,17431,216,9791,311,12378,2064,14170,390,14239,744,14265,382,8762,169,6356,102,NY-04
1334,472,4695,869,2770,92,4062,271,2349,416,1850,0,2216,54,1664,0,693,0,NY-22
1850,0,4799,200,3657,0,2011,423,3168,193,3854,103,3625,194,2406,0,1301,0,NY-19
801,0,2223,0,804,0,2627,457,651,13,2119,0,1907,0,1164,0,505,0,NY-27
6576,0,7764,186,5304,282,9814,792,7752,330,7572,138,9093,496,4989,146,6084,0,NY-14
5734,109,13476,142,6450,153,7313,110,5012,1195,6125,225,5152,460,3185,34,1779,0,NY-24
,,,,,,,,,,,,,,,,,,CA-26
1491,0,3722,0,2053,434,2504,191,2695,379,2194,65,2114,190,1742,0,850,0,CA-19
,,,,,,,,,,,,,,,,,,CA-24
7754,204,16994,365,8716,732,11278,1593,11671,187,9524,517,10393,497,7199,0,3916,0,CA-06
2749,427,5926,265,6071,1075,4318,1170,7617,117,8650,457,7545,433,5295,0,3071,0,CA-11
5799,0,13958,253,5641,1028,5308,833,4369,828,5642,540,5698,793,3027,218,2837,57,CA-08
434,0,742,0,1578,82,4873,932,2754,0,3022,321,1947,0,1248,0,493,0,CA-28
2811,0,4719,47,5157,92,5750,681,7055,591,5177,176,5651,247,4175,0,2129,214,CA-12
,,,,,,,,,,,,,,,,,,CA-04
5241,41,11297,122,7004,412,10057,1454,8714,520,7626,1342,7470,430,5710,38,3688,0,CA-41
239,0,2240,0,1879,0,3433,493,2455,173,2355,0,2411,389,1064,0,484,0,CA-17
1715,0,6443,250,3608,273,3741,513,3050,245,5205,286,4131,50,2592,0,1554,0,CA-38
2955,129,8135,278,4495,1103,5573,900,5174,317,4163,411,4712,431,2166,0,1426,70,CO-05
983,0,3247,0,1579,90,1417,677,1159,105,1227,199,1411,65,922,0,484,0,CO-07
15076,151,38170,1371,17278,4190,24067,3207,23869,2734,25446,2875,26030,1670,16743,83,10320,0,DE-00
6957,0,17402,717,10314,378,13521,1502,12565,890,15164,777,12668,863,7545,309,4725,0,CT-01
4684,440,9683,282,5351,689,6807,1321,7039,1093,5541,478,4118,636,3484,91,2045,0,CT-05
15284,403,30098,1397,12681,5509,19389,5585,13217,2863,16616,2036,13087,2582,10055,343,5028,48,FL-14
8124,325,15617,1417,6767,1870,6084,2720,10394,3592,7193,1848,8038,874,6011,0,2710,0,FL-16
7636,154,16532,1452,6611,3006,13526,2902,14820,3788,9453,1075,14379,1324,7669,630,5729,0,FL-15
1742,0,7196,1111,3900,687,2898,2274,5407,1838,6419,492,4481,244,3131,0,1741,0,FL-12
