Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
2855,46,6702,249,3826,307,4601,840,3541,1044,2508,518,3053,114,1256,0,905,0,OH-11
3288,0,8202,1038,1665,1376,1622,1193,3072,1357,1183,747,1246,93,697,0,132,0,OH-08
11241,1673,23373,3362,6876,4415,7281,6113,6637,6315,6202,3677,3966,1492,2234,202,1042,157,OK-01
18559,1667,34651,6742,9017,7379,10610,9509,8319,10206,6183,7640,5684,2779,3353,298,1789,94,OK-05
8258,919,20608,1566,9782,2458,12423,5875,10676,5363,7488,3517,5042,980,2895,320,626,0,OR-03
5581,88,16433,155,9304,1165,6175,2903,8521,1530,6967,1014,4287,689,2421,0,1758,65,OR-04
11758,472,23746,1324,9913,2142,11011,2183,9457,1661,12079,1401,7060,670,3341,116,1966,129,RI-01
4023,0,5929,2792,3018,667,2899,1995,2760,1825,2381,1048,1739,975,562,0,413,0,SC-03
3216,644,5569,2575,1794,1700,632,3369,1370,2304,1781,1438,1146,1302,1585,0,767,0,SC-07
2685,804,8171,2266,2338,2287,2408,2667,2584,3519,1815,1774,1856,1382,952,21,224,69,SC-06
4213,92,6649,2214,1920,2117,2218,1812,1758,2673,1870,823,1299,482,1052,0,717,0,TN-03
1625,0,6251,479,1698,771,1946,1892,1815,1503,1279,436,1884,428,1234,0,343,0,AL-01
3181,0,5909,572,1312,1000,1883,744,1714,1379,725,560,832,45,350,203,292,0,AL-03
4555,374,10169,2013,3776,2047,1816,1617,4005,1956,2903,1694,1420,324,1136,62,113,0,AL-05
5869,869,12183,2175,3098,1708,3288,4224,3010,2548,1994,2504,2134,221,659,333,572,0,AL-04
3992,0,5195,376,2033,1035,1850,1170,1587,2211,1589,217,683,614,1175,55,269,0,AL-07
2734,679,7587,665,1659,812,1623,1691,1761,1468,1182,1077,871,194,542,0,466,0,AL-02
5185,0,9890,197,2133,1473,3815,1929,2829,1983,2059,831,813,728,1397,0,231,0,AL-06
4770,743,12179,962,3734,1532,5502,3035,4250,913,5811,700,3572,41,2382,0,214,0,AK-00
14979,990,38459,5014,16118,4735,15238,3209,15848,5812,16567,3843,12510,1798,9956,857,5804,0,AZ-01
52395,4591,107178,12769,47145,15007,52895,20394,46330,14867,42349,12915,35225,6898,26080,840,16732,164,AZ-03
13347,1915,32907,3275,11586,3421,14508,3372,15932,3855,15317,2635,9200,1401,5401,52,2790,0,AZ-05
11391,967,37043,2822,13232,5410,16072,4143,16529,3862,12411,3738,13149,1759,10441,0,4714,0,AZ-04
54762,6988,110667,22571,43107,22797,44609,23842,54627,25176,38415,22213,29940,11875,20559,1108,10472,903,AZ-07
18728,304,38090,5308,21180,6524,22655,5714,23472,3966,17866,6386,15428,2795,11248,152,8170,130,AZ-02
12101,1201,29548,3510,13798,4523,17605,7122,13552,4773,11536,4645,10444,2673,5097,95,3324,0,AZ-06
15553,1793,41056,1928,14689,3072,19036,4079,19581,4880,17297,2596,10663,1563,7742,162,3782,428,AZ-08
13135,1730,28178,4949,10460,3583,11744,5302,10073,7818,8975,4007,8252,651,2772,90,1495,237,AR-03
4725,716,9178,2403,2575,1733,3056,2777,4071,2793,1647,759,954,297,1199,428,871,151,AR-02
29516,715,76730,2761,36244,7036,41545,9910,39998,9068,32565,8182,27837,5145,23741,0,12379,272,CA-36
42587,2251,98798,7287,48932,9617,55907,14688,48858,18992,48018,17423,35876,7480,17220,580,11343,505,CA-46
