Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
2059,0,5822,148,2068,348,4225,594,6183,120,6518,378,5729,886,6049,75,1681,84,NV-04
356,0,2596,600,1842,36,2452,179,3471,379,2046,301,1949,319,830,0,830,0,NH-01
1765,0,4237,99,1646,437,2592,233,4621,46,3750,262,2978,260,2701,95,1865,0,NJ-03
1420,0,3942,117,2612,202,3540,281,3795,89,4785,333,4879,320,2884,141,1749,74,NJ-04
1506,220,4312,463,1472,145,2692,199,3414,490,3763,190,3266,331,2324,69,1417,0,NJ-02
4775,302,10915,548,4981,20,9777,279,13605,770,10086,386,7905,277,6576,381,3494,257,NJ-11
5138,0,4267,26,7149,707,21702,765,14267,1209,6518,861,6258,288,3431,242,2432,0,NJ-08
,,,,,,,,,,,,,,,,,,NM-02
2684,44,7172,200,4438,0,5408,471,6709,178,4764,52,2958,806,1535,0,813,0,NY-20
,,,,,,,,,,,,,,,,,,NY-21
4067,0,6581,469,3609,72,7477,915,9627,455,6271,111,6833,542,4554,193,1443,0,NY-04
1029,98,4159,281,5343,453,1836,120,2098,195,1570,146,1709,257,582,78,471,0,NY-22
827,0,1268,0,1392,121,881,173,1868,175,1418,24,1284,0,1155,0,262,0,NY-19
,,,,,,,,,,,,,,,,,,NY-27
9077,0,13827,640,8676,825,17415,2222,18125,1739,15765,2016,13522,1808,10407,267,7212,33,NY-14
1695,0,4400,87,3660,47,1787,42,2352,95,2292,242,1314,160,808,36,642,0,NY-24
